gene_name	MMRF_1879_1_BM_CD138pos_T2_TSMRU_L05344	MMRF_2453_1_BM_CD138pos_T2_TSMRU_L10609
RHBDD2	24.475	24.8663
SOX8	0.0206	0.0399
IBTK	10.8237	7.4404
ZNF195	5.1605	8.2333
MYCBP2	11.7897	11.0421
FBXL3	5.5446	5.8262
ITGAL	45.9687	3.4777
PDK2	4.7012	4.6345
ITGA3	4.0688	6.4944
ZFX	7.1989	4.3336
LAMP2	29.9128	19.0385
ITGA2B	0.0411	0.4656
ASB4	0	0
GDE1	12.8937	15.4758
C19orf60	28.4461	42.3479
CRLF1	0.6725	0.7758
OSBPL7	7.9803	6.9673
TMEM98	0.022	0.0511
YBX2	0.0099	0.0191
KRT33A	0	0
MAP3K14	21.026	5.6504
ABCC8	0	0.0033
CACNG3	0	0.0072
TMEM132A	0.0251	0.1002
AP2B1	15.9773	12.6061
TAC1	0	0
ZNF263	6.8721	7.7508
CX3CL1	0	0.0222
SPATA20	15.3429	16.5755
CACNA1G	0.0023	0.0091
TNFRSF12A	0.1727	1.4104
DLX6	0	0.0192
MAP3K9	4.8713	1.5426
RALA	7.883	11.3726
BAIAP2L1	0.2994	0.1289
KDM7A	14.5281	13.2764
ETV1	0.7659	0.0413
AGK	5.1165	5.6747
ALDH3B1	0.9705	4.6903
TTC22	3.2651	1.5686
PHTF2	3.4339	3.8015
CCL26	0	0
FARP2	7.6131	4.0275
USH1C	0	0
GGCT	3.5268	11.8118
DBF4	5.5577	12.0442
TBXA2R	0.2613	0.0554
IFRD1	8.6169	10.8893
LGALS14	0	0.0614
COX10	4.4355	7.1028
GTF2IRD1	0.2667	0.1054
PAF1	25.9566	30.8806
VPS41	6.1092	6.3397
ARHGAP44	0.9091	0.5688
ELAC2	9.0061	14.2208
SCIN	3.2116	0.268
ARSD	4.9076	0.3111
PNPLA4	3.4592	4.1147
MYH13	0.0036	0.007
ADIPOR2	13.1122	10.1836
CDKL3	0.276	0.1879
UPP2	0.108	0.0299
PRSS21	0.0348	0.2583
MARK4	3.9122	4.6244
PROM1	0.0184	0.003
CCDC124	17.6516	31.549
CEACAM21	10.9269	5.229
PAFAH1B1	15.6929	14.0841
NOS2	0.0273	0
DNAH9	0	0.0026
KIAA0100	22.6325	21.8467
SLC13A2	0	0
GAS7	0.0903	0.7283
TRAPPC6A	22.9006	35.275
MATK	0.011	0.7308
CEACAM7	0	0
CD79B	63.3438	37.4014
SCN4A	0.2599	0.0241
ST7L	1.833	1.5414
TKTL1	0.0312	0.0182
PAX6	0.3116	0.4961
RPUSD1	7.8892	11.9735
RHBDF1	1.3272	0.409
LUC7L	16.8696	17.4568
CACNA2D2	1.4247	1.0062
BAIAP3	1.3542	0.6649
TSR3	26.2517	28.8054
PIGQ	6.8983	6.7078
CRAMP1L	3.1864	1.6883
TEAD3	0.0599	0.3263
SELE	0	0.0193
DNAJC11	8.1064	6.7008
FMO3	0.0988	0.1084
MYLIP	10.4278	5.462
NOX1	0.1262	0.1485
E2F2	1.6088	3.6834
PSMB1	74.6046	63.4647
SYN1	0.0213	0.0138
JARID2	10.3646	5.7764
CDKL5	2.5307	0.7964
CAMK1G	0.0085	0.3384
CDK11A	2.9686	4.0737
NADK	13.1986	17.1511
TFAP2B	0	0
TFAP2D	0	0.0119
DLEC1	5.7185	1.0808
CYTH3	0.4162	0.6655
ADAM22	0.3458	0.1666
SYPL1	20.7707	13.653
CYB561	14.8004	7.9676
SPAG9	7.7751	5.2659
CELSR3	4.0665	2.7178
AASS	3.0944	1.0729
PLEKHG6	0.0268	0.0052
SS18L2	16.2652	13.2768
MPND	10.4165	10.9094
MGST1	0.0123	0.1514
CRY1	3.9777	5.197
PGLYRP1	0.6334	0.4909
NFIX	0.2062	0.1262
ST3GAL1	18.0798	3.5199
MMP25	0.2266	0.7977
IL32	0.0142	0.1377
PKD1	8.6354	5.7068
MAPK8IP2	0.0966	0.277
MED24	13.0522	10.2827
RHOBTB2	6.1339	2.6452
HEATR5B	9.6758	6.9958
SEC62	46.9403	44.7645
RPS20	350.1708	315.0784
CSDE1	170.3112	142.775
UBE3C	11.8293	9.9805
REV3L	2.9694	2.0337
TENM1	0.0018	0.8752
PAX7	0	0
MASP2	1.3732	1.0912
IYD	0	0
FAM76A	4.2847	2.9677
TRAF3IP3	16.3975	1.6702
POMT2	3.2774	3.3755
VTA1	4.2108	3.9328
MLXIPL	0	0.0229
BAZ1B	23.2393	23.3786
RANBP9	17.7749	19.7521
ETV7	0.2882	0.0744
SPRTN	1.8533	1.122
METTL13	7.3467	10.7989
DYRK4	4.3414	5.1228
ZNF207	14.6331	13.4198
UQCRC1	21.7741	33.6717
STARD3NL	5.8581	5.5983
CD9	2.3777	22.49
HHATL	0	0.0076
NCAPD2	13.4877	9.3297
IFFO1	14.1998	7.5099
GIPR	6.4133	1.2639
PHF7	3.9311	2.4238
SEMA3G	0.2002	0.8816
NISCH	19.2808	10.4739
STAB1	0.575	2.3323
FUZ	8.8351	11.0891
SLC6A13	0.1021	0.0833
IDS	48.5015	18.7056
PRSS3	0.0137	0
ZNF200	1.1192	1.4523
CD4	4.6272	9.4946
LRRC23	2.4789	1.9239
BTK	36.5793	43.4476
HFE	0.1969	0.4826
SCMH1	16.0958	10.7635
FYN	5.5169	0.5305
HIVEP2	13.3845	7.4961
FMO1	0.0063	0.0429
TCEB3	11.1371	8.551
LYPLA2	21.7333	21.6156
CLCN6	8.4467	2.4482
MRC2	0.1529	1.4457
NME2	0.0551	0.623
SLC6A7	0	0.1107
TSPAN9	0.1157	0.174
BTBD7	6.1429	2.3934
APBA3	6.776	10.2888
MKS1	3.3997	2.5566
ABHD5	3.6016	3.0152
KAL1	0.0032	0.0681
AKAP8L	16.9642	16.4804
MBTD1	8.9964	5.7238
UTP18	12.1431	16.4221
RNF216	11.798	12.4749
TTC19	6.1728	9.4818
PTBP1	40.8683	38.4869
DPF1	0.1188	0.1427
SYT7	0.0038	0.0594
LARS2	3.0105	1.54
PIK3C2A	8.9636	16.5014
PLAUR	0.9874	3.3948
ANLN	0.5424	2.2999
WIZ	6.5302	10.2496
RABGAP1	5.3336	5.2388
DCN	0.0266	0.4831
QPCTL	19.7574	20.8806
PPP5C	9.6877	13.8963
CEP68	2.7687	1.8802
MAP4K3	7.7914	6.4951
ZBTB32	1.4159	0.2472
TYROBP	7.3663	47.6348
TMEM159	2.6476	2.4869
GABRA3	0	0.0263
BRCA1	1.373	1.3777
ERCC1	8.3221	18.7766
CD22	0.0518	0.6706
SEMA3B	0.5732	0.5093
MBTPS2	3.9363	2.3135
PRICKLE3	3.227	3.4785
LTF	0.1664	0.26
EXTL3	3.6498	1.3467
NR1H4	0.0066	0
ELOVL5	31.9049	15.1832
ALOX5	9.0295	23.4089
KDM5D	59.1916	0.0257
CALCOCO1	45.3597	21.3262
UBR7	13.6793	15.4092
MAP4K5	8.1516	6.4845
EHD3	20.6042	0.8957
PSMC4	38.5461	43.8435
MAN2B2	9.3462	6.2109
SLC7A14	0.0044	0.0021
CLDN11	0.2004	0.0915
SLC25A39	22.3437	40.0985
MVP	15.9371	27.3037
NUB1	6.5235	9.6664
PGM3	17.6112	16.8305
RWDD2A	9.4829	6.8967
CLK1	61.2237	31.5089
POLR3B	2.1686	3.1236
ANGEL1	10.3136	11.0476
RNF14	6.7947	18.7088
DNASE1L1	7.404	5.8938
DDX11	12.0359	15.4782
HEBP1	4.0809	5.8975
GPRC5A	0.0081	0.034
MAMLD1	4.1947	0.063
CD6	0.287	0.0334
TACC3	2.5709	5.3969
UFL1	23.8177	19.8352
POLA2	5.3363	4.8566
ZC3H3	6.5273	4.6474
CAPN1	20.8465	17.6022
ACPP	1.6587	0.1106
MDH1	13.5309	25.3595
SLC30A9	10.2037	8.4287
MTMR11	0.6656	0.255
COX15	7.0532	8.2018
CCDC88C	25.3004	24.7565
YAF2	2.7496	2.69
ZMYND11	26.3137	14.3407
WAS	23.8755	22.1347
DPEP1	1.5163	1.9449
BID	4.0159	7.2187
MATR3	1.3191	1.0264
NPC1L1	0.013	0.0589
XYLT2	6.3716	6.7936
RGPD5	0.0145	0.0016
STMN4	0	0.0067
NUDCD3	7.9685	10.4118
ISL1	0.0316	0
CHDH	1.6078	2.9867
IL20RA	0	0
CLCA1	0	0.0066
CLCA4	0.0794	0.0705
GLT8D1	17.5564	23.0641
ATP2C1	9.8502	7.2946
IGF1	2.0358	3.0045
SLC38A5	19.0706	60.9932
RALBP1	12.9609	12.2797
RUFY3	11.4071	5.1813
CNTN1	11.2584	0.3037
SLC11A1	0.1735	1.301
WWTR1	2.4611	0.7876
AGPS	3.0183	4.5001
ZNF806	0	0
CXorf56	5.9128	6.9861
ATP1A2	0.0362	0.007
TTC27	8.2835	5.6105
ZNF582	2.8384	0.844
VSIG2	0.0318	0.0771
PHLDB1	0.3947	0.0813
MARCO	0.2194	3.4742
CYP24A1	0	0.0167
PRDM11	1.9512	0.3229
SYT13	0	0.0081
SNAI2	0.02	0.1162
CD74	663.1598	302.3683
HGF	9.6855	21.989
ZRANB1	4.9198	3.9253
NCDN	6.7616	12.9062
GPR124	0.0097	0.1032
CCT8L1P	0.0136	0
ZFP64	2.8972	3.4788
MNAT1	3.2803	3.4575
SAMD4A	2.0704	0.4465
RUNX3	19.6519	12.5117
MRE11A	10.2048	7.245
PLEKHB1	0.6749	0.4299
SERPINB1	19.4937	18.1261
CYP3A43	0.3978	0.2848
SLC7A9	0.0702	0.0765
SPAST	4.8729	5.3346
NRXN3	0.0045	0.0087
OSBPL5	2.6358	0.1686
AQR	5.3602	4.8706
CPS1	0.0611	0.0952
C8B	0	0
FHL1	0.365	0.3904
RTFDC1	16.3655	34.2225
GABRA1	0	0.004
NLRP2	0.1264	0.2204
SLC45A4	2.5139	2.8483
RNF10	24.1184	21.0345
ZNF839	5.1806	2.679
ZDHHC6	20.1077	13.3249
GRAMD1B	0.028	0.0656
RNH1	18.6406	30.4096
NDUFS1	5.1654	7.1245
RB1CC1	13.4871	9.0732
ERP44	21.3466	33.3509
ALAS1	9.7919	15.2075
BIRC3	60.9684	21.4978
AKAP11	5.5973	6.7133
GLRX2	3.9672	10.9336
SNAPC1	1.9489	2.9689
DERA	10.3912	10.7257
STRAP	32.8069	47.883
ABCC2	3.0845	0.8755
DEF6	54.1266	38.7608
PLEKHO1	8.0236	0.9858
GCLM	1.6829	1.9236
UBR2	22.9886	9.7273
EHD2	0.0058	0.2534
DEPDC1	0.4133	1.8108
CCDC28A	25.2995	18.7465
RRAGD	11.1991	39.4123
HSF2	6.5151	4.9539
PHF20	6.4296	4.4761
HSD17B6	0.3713	0.3111
NR1H3	0.9457	4.3075
TYMP	22.8029	25.5114
NCAPH2	25.4665	17.1448
TOMM34	7.5641	10.9692
SEC63	35.5228	26.613
KPNA6	9.4412	7.8254
VIM	583.9052	345.8098
RTEL1-TNFRSF6B	1.8264	1.7439
FAS	3.6541	0.4252
RNASET2	39.588	32.2033
CD44	21.7826	68.5315
KCNG1	0.0042	0.0041
AGPAT4	0.1638	0.3526
SLAMF7	306.4635	157.4608
BTN3A1	60.1294	18.9584
MIPEP	1.6264	2.7878
PRKCH	0	0.0978
INSRR	0.0045	0.026
IFNGR1	13.7917	78.5161
B4GALT7	12.9681	16.5427
SH2D2A	0.0363	0.4221
VRK2	11.4177	7.4215
TNFRSF1B	1.217	4.9737
VEZT	8.8977	5.3424
POU2F2	17.2398	54.835
BRD9	7.3278	7.4512
SNX1	11.5716	13.6076
TBPL1	5.1136	4.607
ARNTL2	0.111	0.0791
BCLAF1	45.2673	17.4102
SLC39A9	14.3988	12.824
ANK1	0.5575	0.0389
IBSP	0	4.6434
TFB1M	2.442	4.3272
RABEP1	10.7189	10.2883
HMGB3	1.3853	1.8096
NUP160	11.3031	8.2033
BAK1	10.9479	19.9314
MUSK	0	0
IKZF2	0.4788	0.24
GRN	18.767	128.9342
FAM13B	7.218	5.7622
ARHGAP31	4.4687	4.4558
CENPQ	2.2632	2.5236
SARS	94.9803	64.6699
RANBP3	8.1257	9.6631
ARID4A	6.7583	3.7125
TSSC1	3.4826	3.3582
PNPLA6	10.6952	14.6556
IFT88	0.8209	0.9615
ALG1	8.5562	8.9218
ZCCHC8	14.036	6.596
ABCF2	10.1147	19.1833
CHPF2	36.387	59.8722
LRRC7	0.1478	0.1568
FUT8	0.793	20.5355
UBA6	6.7878	5.0989
GAB2	18.6168	8.3675
ATP6V0A1	8.6507	7.7062
PIAS1	10.5994	8.65
SLC4A7	2.8646	0.3216
APBA2	0.0199	0.0804
MAP2K3	12.1881	9.6049
EFCAB1	0	0
TMSB10	1007.9699	665.989
ASTE1	4.0921	2.127
RNF19A	32.2083	36.2564
PEX3	10.1289	5.3581
GABARAPL2	12.2808	11.0878
MYOC	0	0
SH3YL1	1.8953	3.8776
FAM136A	20.527	33.3257
VCL	1.7549	1.2114
DEPDC1B	0.2516	2.1183
DAPK2	0.0603	0.1006
NSMAF	10.6857	7.8321
ADSS	12.9378	10.9357
STAP1	46.8458	33.9666
TIMP2	11.3468	9.4972
RFC1	12.7653	11.6446
TBC1D23	8.5334	11.1211
CUL3	7.8665	5.9152
MYOM2	0.0065	0.0344
OTC	0	0
CYP46A1	0.7973	0.444
ZZZ3	5.3818	3.656
SLC18A1	0.0292	0
USP2	0.0553	0.1898
CASR	0.0211	0
TUBG2	15.9176	9.8648
RPL26L1	8.7176	14.8204
FLT4	0.0129	0.1298
NSUN2	21.0262	21.3903
FBXO42	5.3885	3.8527
MFAP3	3.8734	4.4619
MRI1	14.4761	15.0451
METTL1	7.8388	8.0988
HOXC8	0.0121	0.0585
AGA	18.7793	19.3634
PI4K2B	9.9714	13.3903
BOD1L1	9.1772	6.8131
MAT2B	32.4188	22.9756
TLL1	0	0
EDC4	9.1574	5.446
TRIO	15.0864	1.5525
VCAN	0.1107	0.7015
CLEC16A	3.5842	2.3235
MSR1	0.5896	4.6682
CDH1	0.2621	0.54
SKIV2L2	7.2589	18.9252
DNAH5	0	0.004
ZFYVE16	3.826	3.4382
FAM65A	14.0497	7.888
C6	0	0.0047
RAI14	0.0148	0.2155
SOX30	0.8278	1.5655
PNKP	25.2276	21.9895
BEST2	0.0259	0.0334
PHLPP2	3.081	1.2217
SPDL1	1.5562	3.4402
STAU2	3.8064	2.4818
PQLC2	8.9395	5.337
CTNS	4.6035	7.3584
RTN4R	0.0341	0.6086
PHF23	6.1452	11.2783
CDH10	0.0062	0.0302
INPP4A	23.2248	20.7717
RAB27B	0.0031	0.0386
PSMA4	12.7867	14.1541
MYO16	0	0.0096
LSG1	23.0537	8.5547
PARP3	15.934	7.1742
TNC	0.4165	2.063
THAP3	2.9176	4.8006
FAM65C	0.6679	0.9815
TDP1	4.2149	5.0725
AIFM2	3.779	2.4175
C2orf83	0	0.0106
SPATA7	0.3716	1.4593
MED17	4.5424	3.3708
RETSAT	11.9281	17.5217
CAPG	8.8255	33.4671
AP2S1	10.0231	26.9882
USH2A	0.2068	0.2801
ZPBP	0	0
TG	0.719	0.4107
ADAM28	13.4242	0.7748
BARX2	0.0125	0
DCUN1D1	4.0661	4.8052
JADE2	16.9134	6.0649
ZIC2	0.0138	0.0067
LCP2	2.7575	1.2166
TRIT1	8.3916	7.9544
ADRB1	0	0.271
GUCA2B	0	0
CUL7	15.8583	21.7351
CTNNA1	12.7521	15.8821
PHKA2	8.1902	4.9564
CNTLN	0.27	0.1178
EPHA3	0.0205	0.0232
HSPA5	535.1849	472.3381
DSG2	0.0295	0.0999
GEMIN8	7.9396	9.9416
OFD1	17.0316	26.7605
GPM6B	0.8478	0.5877
MAGEC2	0.5956	0.1109
PREX2	0.0019	0.0037
WDR37	8.4664	4.9011
YTHDC2	8.7788	6.6963
CTPS2	4.4571	2.1527
ATP6V1H	3.8393	4.0922
POLR2B	24.5341	16.8516
FAM214A	32.0428	37.365
ARAP2	4.0164	0.1813
TPR	21.5953	16.3668
CP	0.2032	1.5682
KIAA0556	5.3581	1.8557
DTNBP1	4.5053	5.2398
XK	7.5645	7.7559
ANO2	0.0146	0.0071
C12orf4	4.857	7.5402
SCML1	5.6748	0.3416
WWC3	17.498	7.6722
ARHGAP6	0.7721	1.3558
FAM184B	0.1274	0.0634
MAP4	9.4726	11.013
GOPC	14.5755	12.8095
ROS1	0.0087	0.0141
USP28	11.5629	11.2315
HDAC9	10.4102	8.2121
TSPAN17	7.8531	8.6786
NOP16	2.5655	13.5679
CC2D2A	0.0904	0.108
RRM2B	8.4381	4.0132
ZNF800	8.4669	9.7039
TNFRSF17	145.8935	267.6083
SNX29	9.4982	4.7195
LMO3	0.0533	2.1318
MRPS10	10.5585	15.5351
GUCA1A	0.0195	0.0849
RSF1	7.0191	5.0155
VPS13D	5.4322	1.9658
CELF2	14.0846	8.5843
FAM120A	28.8803	49.5055
R3HDM1	6.8888	8.9886
COL9A2	25.0002	3.198
KITLG	0.0566	0.1353
ERCC8	2.2723	3.0214
ADAMTS6	0.016	0.232
H6PD	13.6558	5.4836
VAMP3	20.1343	20.5517
PER3	2.4185	0.84
UTS2	0	0.0493
TNFRSF9	0.0036	0.1012
EPN3	0.1719	0.0714
LTBP1	2.4797	3.6738
RCN1	11.4819	19.6395
ELN	0	0.0101
RFC2	4.9504	7.8223
ARID1B	10.5345	6.3003
CLPTM1L	58.0661	82.64
NEDD4L	1.324	4.7191
FOXP3	0.224	0.1001
PPP1R3F	1.7431	0.6405
HEXB	18.9146	30.724
PTCD2	1.4794	1.774
KIAA2022	3.4329	1.7209
JKAMP	9.5143	11.1152
DKK3	0.0045	0.0087
ARHGEF5	2.5084	2.8132
NFE2L3	21.5417	14.9924
MCUR1	9.6565	7.2388
LIMA1	0.4404	0.5734
LETMD1	10.1388	17.771
SLC4A8	0.5327	0.4029
LAMC3	0.003	0.0436
PTGER3	0.0118	0.0092
TNIP3	0.0061	0.0059
MAPK9	8.4795	6.0308
COL23A1	0.0064	0.037
BCAR1	1.1752	1.3357
FAM160A2	15.7396	16.4123
HERPUD1	190.4073	207.8014
HOMER3	6.6503	24.5476
RAD51	0.5165	1.2908
POLQ	1.1304	0.7543
PIK3CB	4.5344	3.5763
CYBA	99.4374	134.7669
THOC3	1.367	3.8765
HEBP2	5.9694	3.3252
MPHOSPH9	5.7892	6.5789
PLEKHA5	0.8825	0.1653
PRSS8	0.0303	0
SIKE1	7.8112	10.5794
RRP12	7.3363	11.2733
FNIP2	3.6256	2.0995
MSMO1	8.0898	6.7288
TTC17	18.1671	24.5078
ALX4	0.0198	0.0461
FSTL4	0.0034	0.0131
FOXN3	22.9889	10.7689
METTL24	0.0257	0.0249
AKR7A2	8.8344	9.6241
MRTO4	7.3936	12.6722
NNAT	1.2131	0.7323
USE1	12.6724	16.2823
MCF2L2	0.0698	0.1052
NRIP2	5.4262	3.1363
LAMA3	0.0034	0.0114
AP5M1	3.6914	4.9552
ANAPC4	8.2582	4.43
KCNQ1	4.8753	0.5674
TRAPPC3	13.5576	18.4435
THRAP3	27.5936	25.6749
PHPT1	28.8289	69.8823
ENTPD2	0.2425	0.0419
LY75	6.547	1.9633
ARID4B	9.2196	4.4982
OPN3	1.6297	2.3487
SDCCAG8	5.3558	4.5156
PTPRN	0.011	0.0107
HHAT	2.0259	0.0698
KIF1B	2.6601	4.1073
FOXC1	0.0581	0.3488
TBC1D22A	9.1512	7.2187
SYNE2	6.6815	2.3099
PLEKHH1	0.1033	0.049
ATP9A	0.0521	0.3107
SPO11	0	0
CBLN4	0	0
CHRDL2	0.0364	0
FAM168A	6.8003	5.9407
RELT	3.3111	4.9054
GALC	4.006	3.6701
NOP58	36.2399	51.7224
SZRD1	18.3067	10.7626
KCNH2	0.8575	0.3495
CUL1	40.4128	35.9402
FAM114A2	8.3572	9.6955
CYFIP2	15.9655	2.1938
TAB2	23.0999	16.1267
GINM1	26.4343	23.1888
EIF2AK2	9.8947	6.1974
USP36	9.5804	9.3783
KMT2C	11.5692	8.4525
MCOLN3	0.0103	0.2568
CCDC85A	0	0.9097
PUM2	28.1981	19.442
MRPL43	14.0276	11.7953
ITIH4	0.5886	0.093
ITIH1	0	0.0146
C4orf27	8.5114	7.9063
ZFR	15.7525	13.6458
ZNF280C	1.5894	0.7579
NPFFR2	0	0.0187
PHF21B	0	0.0077
TRAF1	6.3115	5.052
RC3H2	7.383	6.0783
IL17RB	1.7789	3.6208
TRAF3IP2	5.7625	1.9179
GYG2	0	0.0303
DCBLD2	3.485	1.6673
SERPINB3	0	0
SOAT1	8.8054	5.9217
PKP2	0.2104	0.1411
MSH4	0.1396	0.5749
F7	0	0
GDI2	38.3572	60.6566
PRDM1	77.2161	63.0118
ATG5	13.2906	12.2762
TMCC3	6.9616	2.7021
PITHD1	15.6157	18.7134
MTA3	3.2027	1.737
USP13	2.4532	0.2512
ATP11B	25.8454	14.1451
LAMC2	0	0
CDK14	11.8864	6.5061
SEC61A1	175.5584	188.3031
PPP1R12A	6.1909	3.9685
RASGRF1	0.0253	0.0378
CAMK2B	0.0391	0.222
CROCC	6.1178	3.1174
POLR3E	9.8561	11.107
ATP2B4	5.8878	4.5785
ZC3H11A	31.2188	41.0319
RIOK2	3.614	8.8923
YIPF1	23.9787	16.4891
NDC1	4.1876	7.347
DGKG	0.3157	0.0282
FLYWCH1	8.5589	4.6438
UNKL	8.6294	8.1527
TBXAS1	21.5193	25.2936
PARP12	12.2014	11.4993
ALDH18A1	27.6953	57.6196
TARBP1	9.3797	8.0959
GATB	1.1579	1.0972
MXD1	3.9997	6.2394
CDK17	16.9898	18.1848
DNAJC25	7.6803	17.4759
SLC2A3	0.1074	4.7411
PSD	1.1297	1.2128
CTDP1	4.8158	4.09
YBX3	14.7702	1.4623
STYK1	0.0133	0.0065
WNK1	10.5636	4.5268
RPS17P5	0.2794	0.1624
CCAR1	17.6544	12.0084
OGFR	17.8611	31.1594
GNA15	0.2356	1.0144
CREB3L3	0.0085	0.0165
PIGV	3.6679	4.7024
PTPRU	0.1979	0.076
SNRNP40	5.6934	6.7443
RIMBP2	0.0104	0.0557
COL11A1	0.0055	0.2058
QSER1	4.6225	4.0353
MPC1	27.7145	41.562
ACAA1	7.4352	6.5774
BCAT1	0.0968	2.2698
HDAC7	21.2755	19.9725
LZTS1	0	0.0116
PRDM6	0.0049	0.0591
WNT8A	0.0109	0
SPAG4	47.1327	80.1095
NCKAP1	1.8854	3.481
MRPS35	10.9117	18.6953
GUCY1B3	0.3307	0.0949
SFSWAP	9.9882	6.2414
TNK2	17.4014	8.4896
MON2	13.7424	7.5241
CDH3	0.0146	0.0213
ARSF	0	0.01
GPBP1	27.5453	32.112
DGAT2	4.3125	4.63
ZNF112	0.0237	0.0402
CS	19.8323	28.4264
LTK	17.4975	13.2213
MRPS24	4.1888	23.6183
ELMO2	6.4178	5.805
WAPAL	12.4132	9.4907
VMP1	15.1931	12.376
APPBP2	5.269	2.6951
POLD1	6.4494	8.307
SEZ6	0.1204	0.0518
EIF4B	136.2607	138.0609
SLC6A16	0.4752	0.9083
GLTSCR1	4.1584	2.8364
SPHK2	3.6354	4.9404
RPL18	181.4587	502.1218
CA11	2.2089	2.4483
ISOC2	4.1178	9.3003
U2AF2	47.7891	46.3398
EPN1	5.1855	11.2448
MED29	18.8904	17.7513
AHRR	0.2911	0.5121
GSC2	0	0
ZNF275	42.3866	24.1183
MTMR1	14.465	7.322
GPC1	0.7874	0.3966
ADCK1	1.2737	1.5703
HAGH	8.0984	14.2622
RNF4	13.4371	11.5303
CASP8	18.4709	8.5176
LIMCH1	0.0294	0.0773
ASUN	5.2286	17.116
TM7SF3	18.2693	19.3443
DLX3	0	0.0407
SPA17	0.0175	0.1782
TSPAN32	4.9958	0.9958
WISP2	0.0046	0.0355
DMRT3	0	0
ST3GAL6	30.4582	10.1449
ATP2C2	0.0186	0.03
NGFR	0.0275	0.3034
CDON	0.0538	0.0458
TAF2	8.9164	5.1316
HIPK2	22.6119	50.154
TNPO3	11.7477	17.4543
MEF2BNB-MEF2B	0.5078	0.4576
RFXANK	13.3009	21.4794
TMEM161A	13.6011	21.1929
LPAR2	3.2597	2.2014
CTSA	10.0152	18.3164
SUGP2	19.6051	25.9931
SLC12A2	1.7192	2.7217
SNX24	2.1968	2.4453
EYA2	0.1008	5.1955
CNN2	37.5731	37.8864
ABCA7	19.3635	10.1611
SNCAIP	0.0062	0.0332
DDX20	3.6597	3.0312
BTBD1	14.7571	25.7918
FAR2	4.1004	6.2171
BCAS1	0.5042	0.1052
POU1F1	0	0.0422
CHI3L2	0.1799	0.2681
SBNO2	10.2004	27.1487
PMS1	9.7733	10.8333
